bioid_number;0x;0y;1x;1y;2x;2y;3x;3y;4x;4y;5x;5y;6x;6y;7x;7y;8x;8y;9x;9y;10x;10y;11x;11y;12x;12y;13x;13y;14x;14y;15x;15y;16x;16y;17x;17y;18x;18y;19x;19y
0015;141.679;130.434;228.866;128.099;144.793;219.956;222.638;218.399;109.762;117.979;168.925;107.859;199.285;110.973;259.226;110.973;107.427;135.105;122.217;132.769;162.697;128.099;212.518;126.542;249.884;131.991;265.453;135.883;183.715;164.686;169.703;173.249;198.506;173.249;185.272;210.615;185.272;240.975;186.051;280.676
0016;157.758;125.518;229.711;128.199;166.25;201.939;215.41;202.833;138.541;113.898;177.422;114.345;211.387;117.473;248.481;116.579;130.497;129.54;143.904;127.752;173.847;128.646;215.41;130.88;243.118;131.774;254.291;132.668;193.958;167.527;180.104;171.102;204.684;171.996;190.83;190.319;189.936;216.687;188.595;250.652
0017;155.077;122.389;227.923;124.177;167.59;196.129;212.728;196.576;136.754;108.535;176.975;110.323;210.494;110.77;245.799;108.535;129.603;125.071;142.117;125.518;170.272;124.624;213.622;125.518;241.33;125.964;252.056;125.964;191.277;158.142;177.422;163.505;204.237;165.292;189.936;184.956;189.936;211.324;188.148;244.842
0018;155.077;159.036;239.543;147.416;176.082;243.501;242.224;236.351;122.453;150.544;172.06;147.863;218.091;141.606;270.379;135.796;121.559;165.739;139.435;162.611;173.847;160.376;226.582;150.097;258.76;148.757;273.954;147.416;204.684;200.598;188.148;209.983;221.666;206.855;208.706;237.244;210.047;262.718;214.963;294.002
0019;129.603;135.349;194.852;134.009;132.285;212.665;191.277;214.005;101.895;125.071;143.011;123.73;177.869;125.071;216.303;122.389;97.4259;138.031;110.833;138.031;142.117;138.925;180.551;138.031;212.281;135.349;224.348;135.349;160.44;173.784;149.714;180.487;171.613;180.934;159.993;206.855;160.44;225.178;159.546;262.718
0020;129.603;131.327;194.852;129.987;133.179;209.536;190.383;209.983;100.107;123.73;141.67;120.155;173.847;121.048;217.197;118.367;97.8728;136.243;113.068;133.562;141.223;134.456;180.551;134.456;212.281;133.115;223.901;133.115;160.887;167.527;151.055;175.124;172.06;174.23;161.334;201.045;161.334;221.156;163.568;259.143
0021;139.435;136.69;206.025;136.243;146.586;219.368;197.533;220.262;110.386;126.411;150.608;126.411;188.148;127.305;225.688;124.624;107.258;141.606;123.347;140.265;152.842;140.712;191.277;139.819;222.113;138.478;234.627;140.265;172.953;173.784;161.334;180.934;183.232;180.934;171.613;204.62;171.613;240.373;171.166;271.656
0022;142.117;141.159;210.047;139.372;145.692;219.368;206.918;219.815;111.28;130.88;153.289;128.646;191.723;129.093;233.286;126.411;109.492;145.628;125.581;143.394;155.971;144.288;193.511;143.841;226.135;141.606;237.755;141.159;174.741;179.593;165.356;188.532;186.361;187.638;175.188;214.005;176.529;233.669;176.975;269.422
0023;135.86;127.305;201.555;125.964;138.095;200.598;198.874;201.939;109.492;114.792;148.373;113.451;180.998;114.345;226.135;114.345;107.365;129.672;119.324;129.987;149.267;130.433;186.361;129.093;218.538;128.646;230.158;128.646;164.462;159.929;156.418;168.421;176.082;168.421;164.462;193.894;164.909;212.665;164.462;250.652
0024;147.926;141.606;214.069;141.159;151.055;222.05;206.918;223.39;118.877;132.221;159.993;129.987;196.193;132.668;237.755;132.221;116.643;145.628;130.05;145.628;161.781;146.522;198.427;146.075;231.945;145.181;244.459;144.288;179.657;180.487;169.378;188.978;189.489;188.978;177.869;214.899;177.869;241.267;176.975;274.785
0025;162.674;132.221;219.879;129.987;164.909;195.682;218.985;194.788;141.67;123.283;175.635;117.473;202.449;117.473;237.755;119.261;136.754;138.031;149.267;135.349;172.953;134.903;209.6;132.221;233.733;134.456;244.459;135.796;189.489;152.332;181.891;161.27;199.768;160.823;189.936;183.616;190.383;200.598;191.277;243.501
0026;159.993;133.562;214.069;131.327;164.462;193.447;211.387;191.213;139.435;125.518;168.484;118.367;197.98;119.708;230.604;119.708;134.966;139.819;148.373;136.69;170.272;135.349;200.215;134.009;225.688;134.456;238.202;137.137;184.126;152.332;177.422;159.482;193.958;158.589;185.467;180.487;185.914;199.704;185.914;235.904
0027;145.692;110.77;204.684;108.088;150.161;176.465;204.237;174.23;121.112;104.066;155.077;95.1278;184.573;96.0216;222.56;94.234;117.984;117.026;133.179;113.898;156.418;113.898;193.064;111.216;218.538;110.77;231.498;111.216;175.635;132.221;166.25;141.159;184.126;140.712;175.635;163.058;176.082;184.062;176.082;222.943
0028;147.033;130.88;205.578;129.093;150.608;199.704;203.79;198.363;123.347;122.389;158.652;117.92;186.361;117.473;224.348;116.132;120.218;137.584;134.519;133.562;158.205;134.456;193.958;132.668;217.197;131.774;231.945;134.903;174.741;158.589;166.25;165.739;183.679;165.739;176.082;188.532;176.082;209.536;175.635;245.289
0029;150.161;118.367;206.918;115.239;153.289;180.487;207.812;180.934;128.709;108.982;159.546;102.278;190.83;102.725;224.348;103.619;123.793;125.518;138.095;120.602;159.993;121.048;195.299;118.367;218.091;118.367;232.392;123.73;178.316;137.584;169.378;145.181;186.807;144.288;177.422;168.421;177.869;185.403;178.316;225.625
0030;151.949;121.048;209.153;117.473;155.971;182.722;207.365;180.487;127.816;113.004;161.781;105.854;191.277;105.407;225.688;105.407;125.581;128.199;141.223;124.177;161.334;123.283;197.533;121.048;221.219;120.155;234.627;122.836;178.763;139.819;171.166;147.863;189.042;146.522;180.551;169.761;180.998;185.85;182.338;226.966
0031;155.524;123.283;212.281;121.495;158.652;185.403;211.834;183.169;134.519;114.792;167.144;109.429;195.299;108.535;228.817;108.535;128.709;129.54;143.904;126.411;167.144;126.411;200.662;124.624;222.56;124.177;239.543;125.518;184.573;142.947;175.188;152.332;192.17;151.885;184.573;174.23;185.467;188.978;187.254;227.412
0032;147.48;125.964;204.237;123.73;151.055;189.425;202.896;189.425;125.134;119.261;156.865;112.557;187.701;113.004;221.666;113.004;123.347;132.221;136.754;129.093;156.418;128.646;193.511;128.199;215.856;127.305;231.051;129.987;174.294;147.416;166.697;156.354;183.679;155.907;174.741;178.253;175.635;196.129;175.635;234.116
0033;162.228;143.394;218.091;140.265;164.462;208.195;214.963;205.514;140.776;133.562;170.272;129.093;199.768;128.646;234.627;129.093;137.201;146.075;150.608;144.735;171.166;144.735;207.365;142.947;228.37;141.606;243.565;142.053;187.701;167.974;180.551;175.571;196.639;175.124;189.042;199.257;189.489;211.324;189.042;252.886
0034;159.546;140.265;214.963;138.478;162.228;204.62;212.728;204.173;139.435;131.327;170.719;127.752;199.321;127.752;231.498;127.752;133.625;145.181;147.926;142.5;170.719;143.841;204.684;142.053;227.476;142.053;240.883;142.947;185.02;165.739;176.975;172.443;194.852;171.996;185.914;193.894;185.467;209.983;186.361;248.417
0035;150.608;139.819;206.471;137.584;153.736;200.598;202.896;199.704;130.497;129.987;163.121;125.071;190.383;125.518;222.56;123.73;126.475;143.841;140.776;141.606;159.993;140.712;195.746;139.819;216.303;138.925;231.945;140.265;176.975;161.27;168.037;168.421;185.914;168.421;176.529;189.872;176.975;205.514;177.869;242.607
0036;159.546;157.248;212.728;156.354;160.887;218.027;209.153;218.921;140.329;146.522;170.272;144.735;198.874;143.841;229.711;145.181;136.938;159.225;149.267;159.036;168.931;159.482;202.896;158.142;224.348;159.036;236.948;159.153;185.02;181.828;176.529;187.638;193.511;188.532;184.126;209.536;183.679;222.943;183.679;262.718
0037;166.697;144.288;218.985;142.5;170.719;202.833;219.432;204.173;145.245;138.031;176.529;132.221;202.896;134.009;237.755;133.115;140.776;152.779;155.524;147.416;175.188;146.969;208.259;145.628;230.604;146.075;244.459;149.651;193.064;162.611;185.02;171.549;201.555;170.655;193.958;192.107;194.405;208.195;193.511;243.501
0038;149.267;125.964;204.684;123.73;152.396;186.297;205.578;184.956;131.391;118.367;159.993;113.004;189.489;113.451;223.007;113.898;126.922;136.69;138.095;129.093;158.652;129.093;193.511;127.305;215.856;126.411;229.264;130.433;176.082;141.606;168.484;151.438;185.02;151.438;176.529;171.102;176.975;186.297;178.763;223.837
0039;147.48;136.69;202.449;134.009;151.949;195.682;202.896;194.341;125.134;126.858;157.312;121.048;186.361;121.495;218.091;120.155;121.559;142.5;136.754;138.478;157.312;137.584;191.277;135.349;211.834;135.349;227.029;137.137;174.294;154.12;166.697;162.164;182.785;161.27;175.635;182.722;175.635;199.257;177.422;237.691
0040;164.462;143.841;216.75;140.712;168.037;197.47;217.197;195.682;145.245;132.221;173.4;126.858;203.343;125.071;233.286;124.624;138.988;149.204;156.418;145.628;173.847;143.394;207.812;141.159;226.582;142.053;240.436;144.735;189.489;154.567;182.785;163.952;197.533;162.611;191.277;183.616;191.723;200.151;191.723;236.351
0041;160.44;141.606;214.069;137.584;166.25;198.81;214.963;198.81;142.117;131.774;170.719;126.411;199.321;124.624;232.392;125.964;137.201;146.969;150.161;143.841;170.272;142.5;202.896;140.712;225.242;139.819;239.096;142.947;186.807;159.482;179.21;166.186;195.299;166.186;187.254;187.638;187.254;201.939;189.042;239.479
0042;164.015;144.288;215.856;140.712;168.484;199.704;216.75;196.129;143.011;134.903;172.953;129.987;201.555;127.752;232.392;125.964;138.541;150.544;154.63;147.416;173.4;144.288;206.025;142.5;226.135;142.053;239.096;144.288;190.383;159.482;182.338;166.186;198.874;164.845;191.277;186.744;192.17;201.492;193.958;238.585
0043;169.378;142.5;222.56;138.478;173.4;200.151;223.007;196.576;147.926;127.305;178.316;116.132;205.578;115.686;240.883;120.155;143.904;148.31;158.652;142.947;179.21;142.947;212.281;140.265;232.392;139.372;246.693;140.712;196.193;158.142;188.148;165.739;204.237;164.398;197.086;186.744;197.98;202.386;198.874;239.926
0044;162.674;154.12;214.069;150.544;165.803;207.749;215.41;206.408;140.776;143.394;173.847;138.478;198.874;139.819;233.286;138.478;138.095;158.589;153.736;155.907;171.613;154.12;203.79;152.332;223.901;152.332;237.755;155.46;187.701;168.421;179.657;176.465;195.746;176.018;189.042;195.682;189.042;211.324;191.277;245.736
0045;168.931;156.801;218.985;153.226;172.506;207.302;219.879;205.514;149.267;147.416;176.082;142.053;205.578;141.159;238.649;141.159;143.904;164.845;158.652;159.036;176.975;157.695;210.047;155.907;229.264;155.013;241.777;158.589;195.299;168.868;186.807;177.806;202.002;176.912;194.852;197.47;195.299;210.877;196.639;247.523
0046;188.148;108.088;239.543;108.088;192.617;160.823;235.52;159.482;168.931;96.4685;197.98;94.6809;226.582;96.4685;256.972;96.4685;164.971;110.659;177.869;110.323;197.533;108.088;231.051;108.088;248.481;109.876;260.1;113.898;214.069;127.305;206.918;131.327;221.666;132.221;214.069;152.332;214.516;169.761;214.957;196.263
0047;144.351;95.1278;208.259;94.234;152.842;156.354;199.768;155.907;123.211;79.0097;156.865;83.0613;189.489;83.0613;227.476;79.0391;118.877;95.1278;132.732;95.5747;155.077;95.5747;195.746;93.787;217.644;95.1278;232.839;95.1278;173.847;124.177;164.909;129.987;184.126;129.54;174.741;151.885;174.294;167.974;175.188;198.81
0048;150.608;72.3355;211.834;71.8886;153.289;132.221;204.684;131.327;129.603;60.7159;161.334;59.3751;191.277;58.4813;231.945;60.269;128.709;77.6984;140.329;74.57;160.887;72.3355;199.768;71.8886;222.113;74.1231;237.755;77.2515;175.635;91.1056;167.144;100.491;185.02;100.044;176.082;122.389;176.082;144.288;177.422;173.784
0049;144.798;78.5922;206.025;75.9107;150.608;138.925;201.109;136.69;123.793;68.7602;155.077;65.1849;186.361;63.8442;226.135;65.6319;122.9;84.402;135.86;80.8267;154.183;78.5922;194.852;76.3576;214.963;77.6984;230.604;80.8267;171.166;98.2561;163.568;106.3;180.104;105.854;172.506;129.987;172.953;149.204;175.635;179.593
0050;151.055;80.3798;237.308;86.1896;151.949;176.018;223.901;179.146;115.749;55.353;175.188;56.6937;212.728;60.269;274.848;69.2071;110.386;78.1453;132.732;79.486;169.378;83.9551;218.091;87.0834;254.291;89.318;275.295;93.3401;188.595;127.752;174.741;137.584;202.449;139.819;185.02;168.868;183.232;198.363;179.657;242.16
0051;156.865;93.3401;234.18;95.1278;158.205;179.146;227.923;180.04;125.134;71.8886;177.422;68.7602;213.175;71.4417;266.357;78.1453;118.431;94.6809;140.776;94.234;170.719;95.5747;218.985;97.3623;250.268;98.703;267.251;101.831;193.064;127.305;180.551;137.137;205.131;137.137;192.17;161.717;192.617;196.576;191.277;235.457
0052;164.909;79.9329;245.799;84.402;164.462;163.505;243.118;166.186;134.966;59.8221;192.17;55.7999;225.242;61.6097;282.446;75.4638;133.625;81.2736;149.714;81.2736;185.914;83.9551;230.158;86.6365;264.123;87.9772;284.68;97.3623;205.578;117.473;191.277;125.071;218.985;126.411;203.79;149.204;202.002;186.744;198.874;231.435
0053;155.971;51.7777;244.012;55.7999;153.736;144.288;239.096;146.075;117.537;27.6447;181.445;22.7287;219.879;25.4102;281.999;38.3705;110.833;52.6715;137.201;50.8839;171.613;53.5653;228.37;55.353;261.888;58.0344;285.127;61.6097;197.086;89.7649;182.785;98.2561;211.834;99.5968;194.852;126.411;195.299;164.845;193.511;214.899
0054;152.842;45.521;243.565;48.6494;154.183;140.712;235.967;141.606;114.408;22.2818;178.763;14.6844;216.303;17.3658;281.552;32.5607;109.046;46.8617;134.966;45.9679;169.825;47.3086;227.029;49.0963;260.1;50.8839;283.786;51.7777;193.511;81.2736;180.104;91.5525;207.812;91.9994;192.617;121.048;192.617;161.717;189.042;208.642
0055;149.714;76.8046;236.414;77.2515;155.077;166.186;233.286;163.058;114.408;52.2246;175.188;44.1803;213.622;45.9679;272.614;54.9061;113.068;78.5922;134.966;78.1453;169.825;76.3576;218.985;76.3576;252.95;79.0391;275.742;77.2515;191.277;110.323;179.21;118.367;206.471;118.367;192.17;144.288;193.064;185.403;194.405;228.306
0056;147.926;99.1499;230.158;99.5968;158.652;190.319;233.733;188.532;118.431;83.0613;177.869;73.6762;213.175;76.3576;271.72;88.4242;115.749;105.854;136.307;101.384;171.613;101.831;220.326;102.725;253.844;102.725;273.508;109.876;193.958;133.562;182.338;144.288;207.365;143.394;192.617;169.761;194.405;206.855;194.405;248.417
0057;143.457;96.4685;222.113;92.8932;147.033;182.722;224.348;180.04;109.046;78.1453;162.674;71.4417;200.215;68.7602;256.525;75.9107;105.917;103.172;129.156;98.703;158.652;98.2561;206.918;96.9154;237.308;94.6809;261.441;98.2561;179.657;134.903;168.037;142.053;194.852;139.819;183.232;166.633;183.679;201.492;184.126;244.395
0058;159.546;76.8046;244.459;75.0169;164.909;171.996;243.118;168.421;120.218;57.1406;180.104;47.7555;216.303;48.2025;281.552;56.2468;117.984;82.1674;143.457;79.0391;174.741;78.5922;228.817;76.8046;260.994;75.9107;283.786;75.9107;198.874;115.239;186.361;122.836;214.963;121.495;200.215;148.757;202.449;193.894;204.237;236.798
0059;160.44;60.7159;248.481;62.9504;159.546;152.779;241.777;152.779;123.347;38.8174;185.467;30.773;223.007;32.5607;285.574;46.8617;119.324;63.3973;144.798;62.0566;177.422;62.9504;231.051;64.2911;266.804;66.0788;287.362;70.9947;202.002;96.0216;187.254;104.513;214.963;104.513;199.768;133.562;198.874;173.337;196.639;219.815
0060;156.418;65.1849;244.905;68.3133;154.63;160.376;239.543;161.717;117.984;42.3926;182.785;36.1359;220.326;37.0298;284.233;51.7777;113.515;68.3133;137.648;66.0788;174.741;67.4195;227.476;69.654;263.229;70.9947;287.362;74.57;198.427;102.725;183.679;112.557;213.175;113.004;197.086;140.712;195.746;188.085;193.958;232.328
0061;156.865;70.9947;246.246;74.57;155.077;166.633;239.989;168.421;116.196;48.2025;180.551;41.9457;220.772;45.0741;285.127;57.5875;113.961;71.4417;138.541;71.8886;173.847;73.6762;228.817;76.3576;265.91;76.8046;286.915;77.6984;197.98;112.11;182.785;121.048;213.175;121.048;196.193;149.204;196.193;192.107;195.654;237.584
0062;168.037;92.8932;247.14;92.8932;171.166;180.04;244.012;177.359;130.944;77.2515;188.148;69.2071;222.113;68.7602;281.105;76.8046;128.263;98.2561;151.055;95.1278;181.891;95.1278;231.945;94.234;263.676;94.234;284.68;95.1278;206.471;126.411;193.064;135.796;218.091;134.009;205.131;160.823;207.812;198.363;207.812;239.479
0063;155.971;90.6587;235.074;91.5525;160.887;174.677;228.817;174.23;121.112;72.7824;177.422;66.0788;211.834;65.6319;268.145;72.7824;118.431;94.234;138.095;91.9994;170.272;92.4463;219.432;92.4463;252.056;93.3401;270.826;94.234;192.17;125.071;180.551;131.774;205.131;131.774;191.277;157.248;193.064;191.66;195.299;236.351
0064;155.524;98.703;236.861;98.2561;156.418;184.062;236.414;183.169;119.771;78.5922;178.316;74.57;212.728;75.9107;272.167;79.0391;115.302;101.384;139.644;99.3093;173.4;100.491;220.585;98.9462;255.184;98.703;278.87;100.044;194.852;138.478;180.998;144.288;209.153;143.841;194.405;168.421;193.958;206.408;194.852;251.099
0065;150.161;83.5082;232.392;83.9551;153.736;170.655;228.37;169.761;114.855;63.3973;170.719;56.2468;207.812;58.0344;266.357;65.1849;110.833;90.2118;134.072;85.7427;165.803;85.2958;215.41;85.2958;248.034;85.7427;269.485;89.318;189.042;118.814;176.082;125.964;202.002;125.071;189.489;151.438;189.042;188.978;185.914;235.457
0066;164.909;108.535;244.012;105.407;173.847;197.023;239.989;194.341;129.603;90.2118;184.573;83.5082;220.772;82.6144;276.636;84.8489;126.475;113.451;149.267;110.323;179.657;109.429;228.817;108.088;258.76;106.747;280.211;105.854;202.002;144.288;191.277;152.779;216.75;150.544;204.237;176.912;206.471;218.921;208.706;260.037
0067;159.993;96.0216;241.777;95.5747;161.781;185.403;240.436;182.722;122.453;79.486;182.338;68.7602;217.197;69.654;277.53;78.1453;119.324;100.491;142.117;96.9154;177.422;97.8092;224.795;97.8092;259.207;96.9154;279.764;97.3623;199.768;133.115;186.807;139.819;214.069;138.478;200.215;163.952;201.109;206.408;201.109;253.333
0068;153.736;84.402;236.414;84.8489;154.63;171.996;231.051;171.996;118.431;63.8442;171.613;57.1406;210.494;59.3751;271.72;67.8664;114.408;87.0834;138.988;86.6365;169.825;86.6365;220.772;87.0834;251.162;87.0834;275.295;92.8932;191.723;122.389;179.21;128.199;205.131;128.199;191.723;154.12;190.83;190.766;190.83;235.904
0069;155.077;87.5303;238.649;91.5525;155.524;171.102;228.37;172.443;118.431;62.9504;176.082;55.7999;214.516;58.0344;271.72;67.8664;114.408;87.0834;136.307;85.7427;173.847;85.2958;218.538;87.5303;253.844;91.1056;275.295;92.8932;193.064;121.495;180.104;126.411;205.578;126.858;191.723;153.226;191.277;191.213;190.83;235.904
0070;154.63;136.69;235.967;139.372;162.228;223.837;229.264;225.178;122.9;110.323;176.975;113.004;216.303;112.11;271.273;111.216;116.196;133.562;141.67;136.69;169.825;138.031;223.454;138.031;255.184;138.925;276.189;139.819;192.617;187.638;179.657;189.872;207.812;189.872;193.511;216.24;193.511;246.63;192.17;282.382
0071;151.949;79.486;237.308;78.1453;156.865;173.337;233.733;171.549;113.961;60.269;172.06;53.5653;210.94;52.2246;269.932;53.5653;110.833;84.402;134.519;81.2736;167.144;81.2736;219.879;80.8267;252.503;79.486;278.424;82.1674;192.17;121.048;177.869;129.093;206.025;127.752;193.064;156.801;193.511;194.788;193.064;238.138
0072;147.48;63.3973;233.733;61.6097;151.949;157.248;228.37;154.12;111.727;42.8396;168.037;37.0298;206.471;35.689;269.932;41.0519;107.705;68.3133;130.497;65.6319;162.228;65.1849;217.644;63.3973;248.034;62.9504;274.401;64.2911;185.02;99.1499;173.4;108.535;199.768;108.088;187.701;136.69;189.042;176.465;189.489;221.603
0073;150.161;87.9772;235.967;85.7427;155.524;181.381;229.711;180.04;113.961;67.4195;170.272;61.1628;210.494;61.1628;271.72;64.738;109.939;90.2118;135.413;89.7649;166.25;88.8711;219.879;87.5303;248.928;87.5303;276.636;88.8711;189.936;129.54;177.422;136.243;204.237;135.796;189.936;163.505;191.277;202.386;189.489;245.289
0074;153.289;84.402;239.989;83.9551;156.865;174.677;233.733;172.89;118.877;59.3751;173.476;56.8923;210.94;56.2468;271.273;58.9282;114.855;87.5303;139.882;86.1896;168.931;84.8489;223.007;84.8489;254.737;85.7427;278.424;86.1896;191.723;124.624;180.104;130.88;207.365;129.093;193.511;157.695;194.405;194.788;193.511;239.479
0075;159.546;103.172;241.777;100.938;163.121;195.682;235.967;193.001;122.9;83.0613;178.763;78.1453;214.069;77.2515;276.636;79.9329;118.431;105.407;143.011;104.96;173.4;104.513;224.348;103.619;256.525;101.384;285.127;103.619;195.746;149.204;182.785;153.226;210.047;152.332;197.086;179.146;198.427;214.899;198.427;256.015
0076;152.842;165.739;232.839;162.611;161.781;245.736;232.392;241.267;119.771;150.991;170.272;138.925;212.728;134.456;260.994;141.159;114.408;176.912;137.648;168.868;168.037;166.186;217.622;163.945;249.375;164.845;263.676;166.186;200.662;199.704;188.148;209.089;208.462;208.819;200.215;229.2;201.109;256.015;200.029;289.074
0077;150.161;146.522;234.627;143.394;156.865;227.859;236.861;225.178;116.643;133.562;168.037;119.708;213.622;117.473;262.335;123.73;112.174;161.27;132.732;151.438;168.931;148.31;217.197;146.969;250.715;146.075;266.804;149.204;199.321;180.487;186.807;190.766;208.162;190.657;197.98;212.665;197.533;239.032;198.427;289.533
0078;145.245;126.858;229.264;121.942;156.418;211.324;228.817;206.408;114.408;113.451;161.781;97.3623;205.578;93.3401;258.313;106.3;110.833;136.243;129.603;132.221;161.334;126.858;211.834;123.283;244.905;124.624;261.888;126.858;190.383;146.522;180.104;158.142;200.215;159.036;191.723;178.253;194.852;228.306;194.363;270.287
0079;146.139;128.646;229.264;121.942;156.418;211.324;228.817;206.408;113.961;116.579;161.781;97.3623;205.578;93.3401;258.313;106.3;110.833;136.243;129.156;134.009;162.674;128.199;211.834;123.283;244.905;124.624;261.888;126.858;190.383;146.522;180.104;158.142;199.768;157.248;191.723;178.253;194.852;228.306;194.363;270.287
0080;148.373;126.858;233.286;120.155;159.993;209.536;234.18;203.726;117.09;116.579;164.015;94.6809;211.387;88.8711;263.676;105.854;114.855;140.712;133.625;132.221;165.356;125.964;216.75;122.389;248.928;123.283;264.569;124.177;193.511;144.288;183.232;156.801;203.79;156.801;194.852;179.146;197.533;226.072;194.363;270.287
